Position,Title,Rating,Budget,Opening Weekend USA,Gross USA,Cumulative Worldwide Gross
111,Jodaeiye Nader az Simin(2011),8.3,"$500,000 ","$59,481 ","$7,099,055 ","$22,926,076 "
172,Stalker(1979),8.2,"RUR6,000,000","$11,537 ","$292,049 ","$303,815 "
174,Smultronstället(1957),8.2,,,,"$14,524 "
150,The Treasure of the Sierra Madre(1948),8.2,"$3,000,000 ","$144,074 ","$5,014,000 ","$5,014,000 "
137,Hauru no ugoku shiro(2004),8.2,"$24,000,000 ","$427,987 ","$5,576,743 ","$236,214,446 "
152,Shutter Island(2010),8.2,"$80,000,000 ","$41,062,440 ","$128,012,934 ","$294,805,697 "
142,The Great Escape(1963),8.2,"$4,000,000 ",,,"$227,940 "
239,Rang De Basanti(2006),8.2,,"$701,666 ","$2,197,694 ","$10,800,778 "
127,Die Hard(1988),8.2,"$28,000,000 ","$601,851 ","$83,844,093 ","$141,603,197 "
246,Mandariinid(2013),8.2,"EUR650,000","$5,180 ","$144,501 ","$1,024,132 "
195,Andhadhun(2018),8.2,"$4,500,000 ","$278,677 ","$1,193,046 ","$62,475,342 "
198,To Be or Not to Be(1942),8.2,,,"$3,270,000 ","$4,578,000 "
140,The Wolf of Wall Street(2013),8.2,"$100,000,000 ","$18,361,578 ","$116,900,694 ","$392,000,694 "
249,"Swades: We, the People(2004)",8.2,,"$424,804 ","$1,223,240 ","$1,953,889 "
179,Tôkyô monogatari(1953),8.2,,,,"$40,468 "
247,Drishyam(2015),8.2,"$9,400,000 ",,,
238,Dom za vesanje(1988),8.2,,,"$280,015 ",
204,Höstsonaten(1978),8.2,,,,"$14,338 "
148,Raging Bull(1980),8.2,"$18,000,000 ","$128,590 ","$23,383,987 ","$23,402,427 "
131,Monty Python and the Holy Grail(1975),8.2,"GBP229,575","$45,487 ","$1,827,696 ","$1,940,906 "
147,"Lock, Stock and Two Smoking Barrels(1998)",8.2,"GBP960,000","$143,321 ","$3,753,929 ","$3,753,929 "
145,El secreto de sus ojos(2009),8.2,"$2,000,000 ","$167,866 ","$6,391,436 ","$35,079,650 "
228,Gangs of Wasseypur(2012),8.2,"INR184,000,000",,,"$4,384,642 "
141,A Beautiful Mind(2001),8.2,"$58,000,000 ","$367,151 ","$170,742,341 ","$316,791,257 "
162,Det sjunde inseglet(1957),8.2,"$150,000 ",,,"$230,571 "
203,Eskiya(1996),8.2,"TRL1,200,000",,,
125,L.A. Confidential(1997),8.2,"$35,000,000 ","$5,211,198 ","$64,616,940 ","$126,216,940 "
128,Batman Begins(2005),8.2,"$150,000,000 ","$48,745,440 ","$206,852,432 ","$373,661,946 "
126,Green Book(2018),8.2,"$23,000,000 ","$320,429 ","$85,080,171 ","$321,752,656 "
139,Casino(1995),8.2,"$52,000,000 ","$9,946,480 ","$42,512,375 ","$116,112,375 "
136,Some Like It Hot(1959),8.2,"$2,883,848 ",,,"$195,088 "
166,Klaus(2019),8.2,"$40,000,000 ",,,
154,The Gold Rush(1925),8.2,"$923,000 ",,,"$26,916 "
121,To Kill a Mockingbird(1962),8.2,"$2,000,000 ","$357,549 ","$592,237 ","$599,146 "
138,All About Eve(1950),8.2,"$1,400,000 ","$10,177 ","$63,463 ","$151,052 "
135,Unforgiven(1992),8.2,"$14,400,000 ","$15,018,007 ","$101,157,447 ","$159,157,447 "
130,Rashomon(1950),8.2,"$250,000 ","$15,942 ","$46,808 ","$46,808 "
164,Warrior(2011),8.2,"$25,000,000 ","$5,242,107 ","$13,657,115 ","$23,308,615 "
122,Up(2009),8.2,"$175,000,000 ","$68,108,790 ","$293,004,164 ","$735,099,102 "
146,Judgment at Nuremberg(1961),8.2,"$3,000,000 ",,,"$12,180 "
134,Ran(1985),8.2,"$11,500,000 ","$3,567 ","$4,135,750 ","$4,164,283 "
118,Per qualche dollaro in più(1965),8.2,"$600,000 ",,"$15,000,000 ","$15,000,000 "
110,Taxi Driver(1976),8.2,"$1,300,000 ","$116,458 ","$28,262,574 ","$28,441,292 "
124,Heat(1995),8.2,"$60,000,000 ","$8,445,656 ","$67,436,818 ","$187,436,818 "
112,Toy Story 3(2010),8.2,"$200,000,000 ","$110,307,189 ","$415,004,880 ","$1,066,970,811 "
143,Pan's Labyrinth(2006),8.2,"$19,000,000 ","$568,641 ","$37,634,615 ","$83,850,267 "
123,Indiana Jones and the Last Crusade(1989),8.2,"$48,000,000 ","$29,355,021 ","$197,171,806 ","$474,171,806 "
194,Sherlock Jr.(1924),8.2,,,"$977,375 ",
144,There Will Be Blood(2007),8.2,"$25,000,000 ","$190,739 ","$40,222,514 ","$76,182,388 "
151,Dial M for Murder(1954),8.2,"$1,400,000 ","$12,562 ","$12,562 ","$18,816 "
158,V for Vendetta(2005),8.2,"$54,000,000 ","$25,642,340 ","$70,511,035 ","$132,511,035 "
129,Yojinbo(1961),8.2,,"$15,942 ","$46,808 ","$46,808 "
149,Tonari no Totoro(1988),8.2,"$3,700,000 ","$539,245 ","$2,250,213 ","$30,550,727 "
132,Der Untergang(2004),8.2,"EUR13,500,000","$18,195 ","$5,509,040 ","$92,181,574 "
159,Inside Out(2015),8.1,"$175,000,000 ","$90,440,272 ","$356,921,711 ","$858,071,350 "
211,Stand by Me(1986),8.1,"$8,000,000 ","$242,795 ","$52,287,414 ","$52,287,414 "
233,Kaze no tani no Naushika(1984),8.1,"$1,000,000 ",,"$495,770 ","$8,736,506 "
245,Portrait de la jeune fille en feu(2019),8.1,,"$67,344 ","$3,759,854 ","$10,043,341 "
208,Million Dollar Baby(2004),8.1,"$30,000,000 ","$179,953 ","$100,492,203 ","$216,763,646 "
184,The Deer Hunter(1978),8.1,"$15,000,000 ",,"$48,979,328 ","$49,074,329 "
218,Platoon(1986),8.1,"$6,000,000 ","$241,080 ","$138,530,565 ","$138,545,632 "
200,Ford v Ferrari(2019),8.1,"$97,600,000 ","$31,474,958 ","$117,624,357 ","$225,508,210 "
191,Hacksaw Ridge(2016),8.1,"$40,000,000 ","$15,190,758 ","$67,209,615 ","$180,450,918 "
248,La battaglia di Algeri(1966),8.1,"$800,000 ","$64,870 ","$879,794 ","$964,028 "
181,Room(2015),8.1,"$13,000,000 ","$118,298 ","$14,677,654 ","$35,401,758 "
161,The Elephant Man(1980),8.1,"$5,000,000 ",,"$26,010,864 ","$26,023,706 "
163,The Sixth Sense(1999),8.1,"$40,000,000 ","$26,681,262 ","$293,506,292 ","$672,806,292 "
176,Fargo(1996),8.1,"$7,000,000 ","$730,265 ","$24,611,975 ","$60,611,975 "
224,Les quatre cents coups(1959),8.1,,"$11,206 ",$509 ,"$127,244 "
171,Salinui chueok(2003),8.1,"$2,800,000 ","$4,487 ","$15,357 ","$1,159,644 "
165,Jurassic Park(1993),8.1,"$63,000,000 ","$47,026,828 ","$404,214,720 ","$1,033,928,303 "
210,Ben-Hur(1959),8.1,"$15,000,000 ","$241,792 ","$74,422,622 ","$74,427,638 "
232,Andrei Rublev(1966),8.1,"RUR1,000,000","$11,537 ","$124,189 ","$145,491 "
229,Amores perros(2000),8.1,"$2,000,000 ","$61,047 ","$5,408,467 ","$20,908,467 "
236,Before Sunset(2004),8.1,"$2,700,000 ","$219,425 ","$5,820,649 ","$15,936,507 "
230,"Monsters, Inc.(2001)",8.1,"$115,000,000 ","$62,577,067 ","$290,642,256 ","$579,707,738 "
170,Finding Nemo(2003),8.1,"$94,000,000 ","$70,251,710 ","$380,843,261 ","$940,352,645 "
244,It Happened One Night(1934),8.1,"$325,000 ",,,
202,12 Years a Slave(2013),8.1,"$20,000,000 ","$923,715 ","$56,671,993 ","$187,733,202 "
250,Song of the Sea(2014),8.1,"EUR5,300,000","$21,910 ","$857,522 ","$4,190,884 "
213,Hachi: A Dog's Tale(2009),8.1,"$16,000,000 ",,,"$46,749,646 "
241,"Paris, Texas(1984)",8.1,"GBP1,162,000",,"$2,181,987 ","$2,206,121 "
175,Blade Runner(1982),8.1,"$28,000,000 ","$6,150,002 ","$32,868,943 ","$41,676,878 "
178,Relatos salvajes(2014),8.1,"$3,300,000 ","$85,100 ","$3,106,530 ","$30,642,704 "
183,On the Waterfront(1954),8.1,"$910,000 ",,,
226,Spotlight(2015),8.1,"$20,000,000 ","$295,009 ","$45,055,776 ","$98,690,254 "
237,Fa yeung nin wah(2000),8.1,,"$113,280 ","$2,738,980 ","$13,719,237 "
240,Du rififi chez les hommes(1955),8.1,,"$17,981 ","$517,975 ","$521,342 "
